,stage,num_sms,nvl_chunk_size,throughput,latency
0,combine,50,16,390.7226130504791,230.6710207948879
1,combine,48,16,383.5433005407917,232.82089890265948
2,combine,46,16,368.10705010651543,241.48244912527045
3,combine,44,16,368.0919828762174,245.14220411680182
4,combine,42,16,353.3966805877553,252.40359318499662
5,combine,40,16,349.655016968051,255.45599995827192
6,combine,38,16,336.5673247948933,266.6187754699162
7,combine,36,16,328.113400490829,272.4146952434462
8,combine,34,16,313.36355017433374,284.96261275544464
9,combine,32,16,306.0170027492688,291.57616471757694
10,combine,30,16,290.19045425870183,309.4543693016986
11,combine,28,16,274.2547584575647,325.1951014509006
12,combine,26,16,259.5847193612358,345.70318399643406
13,combine,24,16,247.5713781641938,363.17322570450455
14,combine,22,16,228.53458120988574,392.31412386407663
15,dispatch,50,32,459.0800018236553,196.32391662013777
16,dispatch,48,32,443.53722205291297,201.32897885478275
17,dispatch,46,32,431.5779689591758,205.96832645182707
18,dispatch,44,32,429.86301993133793,209.915428441398
19,dispatch,42,32,415.2628336639437,214.80032588754378
20,dispatch,40,32,404.64815524840725,220.7386116592251
21,dispatch,38,32,387.5979912587763,231.51608115556286
22,dispatch,36,32,372.24951400989465,240.11559084970125
23,dispatch,34,32,358.5480180595124,249.05142826693398
24,dispatch,32,32,342.3742768063482,260.6132237278685
25,dispatch,30,32,328.11713320591883,273.6848975930895
26,dispatch,28,32,311.5368238987546,286.2785300429986
27,dispatch,26,32,291.0193977149597,308.36179548380323
28,dispatch,24,32,275.83440080286545,325.9611409537645
29,dispatch,22,32,256.15786706287383,350.008161092291
