,stage,num_sms,nvl_chunk_size,throughput,latency
0,combine,128,18,488.73564369086637,184.2017973564109
1,combine,132,18,482.01781800480245,186.7520009376565
2,combine,136,18,478.54329178665415,187.60293904615907
3,combine,144,16,477.3849228924382,187.62057137732603
4,combine,140,18,475.54861534193407,188.0091437879874
5,combine,148,16,479.0598251996326,188.02481707261535
6,combine,124,20,476.0242358689743,189.3701227952023
7,combine,120,20,461.2014882165782,192.63216244931127
8,combine,116,14,463.3652389156491,192.69616384895477
9,combine,112,20,460.93427462132587,194.7343665726331
10,combine,108,16,456.5705581885785,195.1601617798513
11,combine,130,18,456.19945091872506,195.85763161279718
12,combine,104,16,455.9436710666702,195.97648935658592
13,combine,96,20,455.449754282837,196.32391753245372
14,combine,100,18,453.3266669976702,196.909060283583
15,combine,134,18,456.16695203941117,197.46089802712808
16,combine,138,18,454.16690089024394,198.02383622344666
17,combine,142,16,453.6947787550914,198.10350969129678
18,combine,92,18,451.9795456408364,198.57436661817587
19,combine,146,16,450.9244750541319,199.18432679711557
20,combine,126,18,450.1402981845481,199.30383563041684
21,combine,84,16,445.6526463321345,200.41926539674094
22,combine,88,20,442.7623242898466,200.5897140016361
23,combine,80,16,442.52166257432145,201.33747008382062
24,combine,72,18,445.7139224675505,201.56800017064933
25,combine,118,14,444.4689260426532,201.92065348430552
26,combine,76,18,442.0080131889329,201.99771347094557
27,combine,122,18,446.88708323409156,202.42285667633521
28,combine,64,18,437.6742578988714,203.099429303286
29,combine,114,20,439.1488737172652,203.15428625564184
30,combine,110,14,442.17382736250863,203.47820344019908
31,combine,94,18,437.8697188519488,204.5054685096351
32,combine,102,16,438.2598733554413,204.55706180358422
33,combine,106,20,436.2107169585651,204.66350900883577
34,combine,98,18,436.879599806941,204.81893876377416
35,combine,68,18,439.6173908581394,205.0155109288741
36,combine,60,18,435.06276109997845,205.02465385563522
37,combine,56,20,431.74576638858133,207.84261244900372
38,combine,90,20,429.98770180932183,208.44473370483945
39,combine,82,16,431.0124996696765,209.03248993717895
40,combine,86,20,425.40572754376836,209.33224504091302
41,combine,52,24,424.3227110726037,210.44571424017147
42,combine,74,14,424.36307338132224,210.87934745817768
43,combine,78,16,425.50244854437545,211.1425311589728
44,combine,62,18,423.25802648721987,213.1911844623332
45,combine,70,18,420.63162765655125,213.24669402472824
46,combine,66,16,417.24147406415796,214.0173054471308
47,combine,58,18,417.11701557167754,214.14008219631347
48,combine,48,32,418.8210528165331,214.41306112980357
49,combine,54,20,411.91800748534587,216.99199931962144
50,combine,50,20,409.3698910524991,217.9624489983734
51,combine,44,32,409.3956750862142,219.19934542811646
52,combine,46,20,402.1144993323674,221.79330550894443
53,combine,40,38,401.76231656250474,223.16016287219767
54,combine,42,24,392.1239267791671,229.29306237065063
55,dispatch,132,18,506.8550710365282,177.60065380407838
56,dispatch,130,18,503.0773126635461,177.6071823373133
57,dispatch,134,18,506.0113174814704,178.01012129199748
58,dispatch,144,16,502.792857879649,178.1394277908364
59,dispatch,124,28,505.8698465282249,178.19755144265233
60,dispatch,128,18,505.0921963098562,178.2367351103802
61,dispatch,146,22,503.7872783843627,178.28375557247472
62,dispatch,148,18,505.0089947510234,178.36342904032495
63,dispatch,138,18,503.79841475219735,178.5155914875926
64,dispatch,142,16,502.9619923809388,178.69844911049825
65,dispatch,122,18,506.1446803236353,178.72391732371585
66,dispatch,136,18,502.2292803391844,178.75526480528774
67,dispatch,126,28,501.05998618918153,179.04979537944402
68,dispatch,140,18,498.691270725801,179.2842450798774
69,dispatch,118,20,498.0296099643245,180.20506051121924
70,dispatch,114,22,494.7412659847392,180.32653051979685
71,dispatch,116,22,494.9547437912406,180.3977133668199
72,dispatch,110,20,498.3208033487151,180.55183607704782
73,dispatch,120,28,491.9758269713097,180.58253094858048
